"Name","Live Bytes","Live Objects"
"com.intellij.lang.LanguageExtensionPoint","21,200 B (0%)","530 (0%)"
"java.util.Arrays$ArrayItr","21,096 B (0%)","879 (0%)"
"org.apache.log4j.ProvisionNode","21,024 B (0%)","657 (0%)"
"java.awt.Font","21,024 B (0%)","292 (0%)"
"com.intellij.openapi.updateSettings.impl.pluginsAdvertisement.PluginsAdvertiser$PluginSet","20,832 B (0%)","1,302 (0%)"
"javax.swing.text.html.CSS$LengthValue","20,832 B (0%)","651 (0%)"
"java.lang.Thread","20,680 B (0%)","55 (0%)"
"javax.swing.text.SimpleAttributeSet","20,544 B (0%)","1,284 (0%)"
"com.intellij.openapi.actionSystem.KeyboardShortcut","20,280 B (0%)","845 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature","20,192 B (0%)","1,262 (0%)"
"sun.font.XRGlyphCacheEntry","20,016 B (0%)","417 (0%)"
"com.intellij.util.io.IntToIntBtree","19,968 B (0%)","208 (0%)"
